MTTR_path,セル名
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.A.A_1,A_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.B.B_1,B_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.C.C_1,C_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.D.D_1,D_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.E.E_1,E_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.F.F_1,F_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.G.G_1,G_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.H1.H1_1,H1_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.H2.H2_1,H2_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.KnuckleSub.KnuckleSub_1,KnuckleSub_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.MinorRepair.MinorRepair_1,MinorRepair_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.Outline.Outline_1,Outline_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.REExamination.REExamination_1,REExamination_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.coatingInspection.coatingInspection_1,coatingInspection_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.EastMainPainting.EastMainPainting_1,EastMainPainting_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.ed.ed_1,ed_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.edToOV.edToOV_1,edToOV_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.insertJig.insertJig_1,insertJig_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.liquidWrapping.liquidWrapping_1,liquidWrapping_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.MainRepair.MainRepair_1,MainRepair_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.ov.ov_1,ov_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.preprocessing.preprocessing_1,preprocessing_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.removeJig.removeJig_1,removeJig_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.sealer.sealer_1,sealer_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.sealerOV.sealerOV_1,sealerOV_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.SmallReapair.SmallReapair_1,SmallReapair_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.substrateInspectione.substrateInspectione_1,substrateInspectione_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.WestMainPainting.WestMainPainting_1,WestMainPainting_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.BRAZE.BRAZE_1,BRAZE_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.F1.F1_1,F1_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.F2.F2_1,F2_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.F3.F3_1,F3_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.FLRCOMP.FLRCOMP_1,FLRCOMP_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.FRFLR.FRFLR_1,FRFLR_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.INNFRM_GW.INNFRM_GW_1,INNFRM_GW_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.RRDOOR.CROSSTAR_1,CROSSTAR_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.SR.SR_1,SR_1
.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.TGSub.TGSub_1,TGSub_1
